place_id,neighborhood,fire_incidents
ChIJ-VSo4lDxNIgR5Um8EhNVwxI,Downtown,39
ChIJD6AqwRbxNIgRxgnRCFCakqw,Mount Washington,33
ChIJ2RRre0vxNIgRuxbJ4vUVihI,Mount Washington,35
ChIJlSvOwErxNIgR5OhwkzwKGwk,Mount Washington,28
ChIJPy82mmztNIgR7tCHRZTuVnc,Mount Washington,36
ChIJE59EiL_xNIgRXf3_akS30ws,Downtown,86
ChIJfc_Zu1bxNIgROLsTbfhJid0,Downtown,87
ChIJsZZF2lbxNIgRpdJqZpHqous,Downtown,90
ChIJSwaAUkrxNIgROMtq9x4yXuI,Mount Washington,28
ChIJsbm8TObxNIgRwXwg-ldV4Hg,Mount Washington,30
ChIJCUPo71PxNIgRAtgoTa99NOA,Downtown,24
ChIJCUPo71PxNIgR0DN7_HDvu2o,Downtown,42
ChIJBbsKoFbxNIgRfZy_c4Gysew,Downtown,79
ChIJO1CPWlHxNIgRyejwmfRjHB4,Downtown,53
ChIJsW0CpVbxNIgRtyWHiG9FaQU,Downtown,79
ChIJUwZBnrbxNIgRwazqpmcSdnQ,Downtown,83
ChIJj8FQr1bxNIgRMi2X2oGQ9pY,Downtown,79
ChIJXXutnFbxNIgR7UUU81s_VKg,Downtown,88
ChIJgW-aDwvxNIgReJCD03Fe2LI,Downtown,89
ChIJHct_wFbxNIgRaO_h4WbplGk,Downtown,94
ChIJKYXik1bxNIgRbgJ_mtNfjoM,Downtown,89
ChIJofJwzFbxNIgRC57bGvzRYKE,Downtown,71
ChIJN-VSlFbxNIgR40s5WO41qgw,Downtown,89
ChIJlww-71bxNIgRztXdqne3Q6s,Downtown,91
ChIJi3bz5VrxNIgRkavQ5Zu528M,Downtown,42
ChIJ09FFvEzxNIgRcfAZqB7fJQQ,Mount Washington,36
ChIJB5KDhyP3NIgRGNuBqbSdhzA,Beechview,14
ChIJbxpRjNP2NIgRtmdSg1GSF3U,Brookline,8
ChIJr52bIdfwNIgROKgSIYc0acs,Carrick,7
ChIJ9X4UwTr3NIgRvcIUkP2SQ6Q,Brookline,27
ChIJ23afgCP3NIgR7bEKy2YjJJY,Beechview,11
ChIJhxspC8bwNIgROEnnc8MsGvs,Carrick,5
ChIJY4oV6DjxNIgRmaNZyV7lqY8,Allentown,75
ChIJR1p9kFbyNIgRDZ210Bg9nvk,Central Lawrenceville,20
ChIJV79ZZlHyNIgRA3nFHpLybEU,Central Lawrenceville,14
ChIJDxKskE3yNIgRZVoDJ9pI2OE,Central Lawrenceville,32
ChIJ1a5WTUbyNIgRjZqErFhIgMQ,Bloomfield,36
ChIJrYigp_fyNIgRIWG-ie1s0kI,Lawrenceville,20
ChIJFWbwNU_yNIgRFCEuSZi60Es,Bloomfield,23
ChIJTQPE-rTzNIgRoMiCLq3FCBs,Lower Lawrenceville,11
ChIJUWs5GN3zNIgRPZqcckSz0q4,Strip District,14
ChIJBz2zA7XzNIgRZbcBa1o8x_c,Lower Lawrenceville,10
ChIJ8zAcVLPzNIgRhsHbKaVgfnM,Lower Lawrenceville,12
ChIJbTN0U7PzNIgRbg-WVM1LlSU,Lower Lawrenceville,11
ChIJdfRhi03yNIgRi_2aR5XCEWU,Central Lawrenceville,34
ChIJOYR7bvrzNIgRU3s9yPaP8Pg,East Allegheny,82
ChIJ0axKmvfzNIgRdOPqQczWrDs,Central Northside,58
ChIJg3MvBfvzNIgRBRpa3nA5RfY,East Allegheny,58
ChIJ8_mSHvzzNIgRgXf7fVX2PTM,North Shore,20
ChIJ41z6CN3zNIgR_ECPHXVS9Nc,Strip District,14
ChIJrSNnoeLzNIgRXD5Z5bgDx6U,Downtown,34
ChIJv2DWlv7zNIgRTTz0tEVx4Ok,North Shore,12
ChIJs2c8p1nxNIgR86FIs2IuGqc,Downtown,38
ChIJGfCWEFfxNIgRKdud4avVJZk,Downtown,99
ChIJ5a71UVbxNIgR_fJVD9BCDHo,Downtown,110
ChIJa5piL1jxNIgRHlJLyZ0aFUY,Downtown,68
ChIJVVUVbFfxNIgR7c7mF2aGn0Q,Downtown,68
ChIJAQCw1FfxNIgR8gdJyIh-4fM,Downtown,76
ChIJm3zjGljxNIgRNMxVoo4hgQo,Downtown,57
ChIJdVAc-9rzNIgR3tlczynQE98,Downtown,37
ChIJbYs7u27xNIgR9Bj9SpqyYwY,Downtown,89
ChIJZ0VnWfTxNIgRzwmWRLP4sy4,Downtown,79
ChIJ47M0F1jxNIgRBCssOalS4ck,Downtown,74
ChIJSVQ4lcfxNIgRO6wvcKZLAQI,Downtown,83
ChIJLe2gNljxNIgRyIt5PgU3xtk,Downtown,60
ChIJ1QL2R1bxNIgR3zR9Fz4lorg,Downtown,98
ChIJue7G_FfxNIgR3YWf7Tdt2aY,Downtown,54
ChIJoaEBy7LxNIgRW6AehuboyTg,Downtown,98
ChIJG6g-slDxNIgR2g4PV1mDO8I,Downtown,61
ChIJMwNf-k3xNIgRKJcrlH1YVqQ,Downtown,74
ChIJr_gB_1DxNIgRCr0YYUObyHE,Downtown,39
ChIJq6rq5FnxNIgRP_IpsWEb7ac,Downtown,52
ChIJbWn2y1DxNIgR1w7n95vU5j0,Downtown,62
ChIJbUeFn1DxNIgRNsB4lETrxQ0,Downtown,48
ChIJ_WoVTvLxNIgRl_aBTlrZpHs,Downtown,89
ChIJwz1LyVbxNIgRV4OR92L-fKw,Downtown,71
ChIJZ3vhFKPxNIgRSUQGsPjO7_Q,Downtown,38
ChIJgVzfkprxNIgRPyQGLv0LJ78,Downtown,34
ChIJr5_PwVnxNIgRW6wYCkEkfv0,Downtown,50
ChIJ3WOGtlnxNIgRDcTKCXS0GOw,Downtown,44
ChIJo5IOulDxNIgRCjQSyJviOTM,Downtown,63
ChIJHeyUo-LzNIgR1FphGl0EYGo,Downtown,36
ChIJaaV-6NzzNIgRronh-wKb0Kw,Strip District,9
ChIJkTpzVVjxNIgRLn0Nwuexkxw,Uptown,50
ChIJn6HNhN3zNIgRzL37A1e_8Pg,Strip District,20
ChIJMYlAHN3zNIgRSTPlPwIwyzg,Strip District,15
ChIJSZ0k9kXxNIgRgxF44U8rvBM,South Side Slopes,12
