place_id,neighborhood,value
ChIJ6XpPWDvxNIgRy_iCBCIKULs,Downtown,239
ChIJi_tCb1rxNIgRpCJk0phr6Hk,Downtown,264
ChIJo1_OeVrxNIgRBzYzhDgFDUs,Downtown,254
ChIJpbLpKfDxNIgR13yY0Fj4pjk,Downtown,243
ChIJy8kvq17xNIgRh6cfPc53b3g,Uptown,243
ChIJtXxPKjrxNIgRq5eY7Y0jNpk,Downtown,245
ChIJP0u4k-HxNIgRpuycPjn19k8,South Side Flats,177
ChIJO1CPWlHxNIgR-qYYdSPvOPU,Downtown,249
ChIJw-nExTjxNIgRxv_bo1Oofp4,Allentown,139
ChIJV0iQSDjxNIgRzGYFE9hqmpQ,Allentown,122
ChIJwVp98DjxNIgRXUNgcwCduIk,Allentown,138
ChIJz-V3hvrzNIgRnEmbGkha4AE,South Side Slopes,182
ChIJUcZs5GnxNIgRDlz3mm9blf8,South Side Flats,145
ChIJjxOdCELxNIgREF2hytDWW6w,South Side Flats,159
ChIJe1ws7mnxNIgRO0liAjIzxa0,South Side Flats,148
ChIJA8Cr32vxNIgRTtKdJVxfpH8,South Side Flats,145
ChIJQ4EHnmnxNIgRga05PiZw2jk,South Side Flats,146
ChIJaTTi3hXxNIgRB4gYqFZVmWU,South Side Flats,150
ChIJd-vid9vxNIgRMVnwpRrgj6g,Allentown,137
ChIJb2a-1drxNIgR6frl-1OAOyI,South Side Flats,203
ChIJVUk52SDxNIgRYxrLC7R4pIs,Carrick,81
ChIJ828bGiPxNIgR0SR1tTIcUbs,Knoxville,89
ChIJ0fRwkm7xNIgR4aK-gr_V2RY,South Side Flats,146
ChIJX9isi27xNIgRWY6b4OmCnQY,South Side Flats,141
ChIJFS5dgnbxNIgRsl0CMLInqOI,South Side Flats,53
ChIJgzGA2snzNIgR59oa3k5YAL4,South Side Flats,151
ChIJu8_ZdWnxNIgR8N1ozNLZCRY,South Side Flats,145
ChIJR-aD_lzxNIgRSD7XXZLNgY8,Mount Oliver,56
ChIJW_6TiQT0NIgRg7tUbgG1dKM,South Side Flats,154
ChIJPQBa7mnxNIgRrZuzs6OPCuc,South Side Flats,146
ChIJiRQnssLwNIgR1tRZcU51tks,Carrick,66
ChIJcWRRYMXwNIgRPVKPEUEB2Cg,Overbrook,55
ChIJ55ZDhCDxNIgR_psxm9MMqZw,Carrick,90
ChIJvXzHpsLwNIgR2sPrq8hj4bs,Carrick,66
ChIJPX3HpsLwNIgR7_u605fuHUY,Carrick,66
ChIJ_1b4IbjwNIgRjYRAhKZ1wTY,Overbrook,18
ChIJ0Tm13OvwNIgRd6Cyi2zNqzY,Carrick,39
ChIJowOx8_TxNIgRcQXbjaDQvo0,Hazelwood,43
ChIJ8VB-Df_xNIgRa-D5onRVEdU,Squirrel Hill South,58
ChIJvcPoEB_yNIgR-TeMN1nZJgg,Squirrel Hill North,25
ChIJmUD-Tg_yNIgRjX-pVSnbHHA,Squirrel Hill North,47
ChIJwaWqIiTyNIgRTdPU35k894M,North Oakland,61
ChIJPdv8abnwNIgRa5VzInjhU88,Carrick,17
ChIJC_YhYcDzNIgRVzMjLFx3HZ8,Troy Hill,56
ChIJJe_uOcDzNIgR8YLaMjdCm2g,Troy Hill,56
ChIJiRi3FsPzNIgR5toi1zAe7_M,Strip District,73
ChIJLRHyqyrzNIgRg1E9MSopuwM,Strip District,53
ChIJR8TLzHzzNIgReN19aeZvS6k,Strip District,71
ChIJR-ud98TzNIgREwnaG2ksz6k,Strip District,77
ChIJs4HYnE_zNIgRoYZtaOT_RTM,Strip District,77
ChIJoWlLstzzNIgRDds3XRCI9mk,Strip District,70
ChIJrVe4FsPzNIgRaWOwAtTRFbM,Strip District,73
ChIJoViZxtzzNIgR--aU6Fhglr4,Strip District,96
ChIJOZR61MDzNIgRsoLC_sqy2Os,Strip District,77
ChIJ4SrQ-rTzNIgRBCWal8EzERk,Lower Lawrenceville,71
ChIJF93Zb9HzNIgRaXsPqpc12X4,Middle Hill,107
ChIJE4Rn39zzNIgReCoU59ojZys,Strip District,92
