place_id,name,latitude,longitude,formatted_address,street_number,route,neighborhood,postal_code,curbside_pickup,price_level,rating,user_ratings_total,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close
ChIJNToRgcX1NIgR-GSNMKCtX1Y,Adda Coffee & Tea — Northside,40.4518953,-80.017696,"926 Western Ave, Pittsburgh, PA 15233, USA",926,Western Avenue,Allegheny-West,15233,True,,4.6,114,0800,1500,0730,1400,0730,1400,0730,1400,0730,1400,0730,1400,0800,1500
ChIJz1P8hZz2NIgRRuLBP_kT7FA,Terry's Snack Shop,40.4434487,-80.0398295,"906 Chartiers Ave, Pittsburgh, PA 15220, USA",906,Chartiers Avenue,Elliott,15220,,,4.7,3,,,,,,,,,,,,,,
ChIJt62jMx30NIgRibh1mXpcjig,North Shore Cafe,40.4494833,-80.02717849999999,"1501 Reedsdale St # 2, Pittsburgh, PA 15233, USA",1501,Reedsdale Street,Chateau,15233,,1,4.4,30,,,0900,1400,0900,1400,0900,1400,0900,1400,0900,1400,,
ChIJnTohch30NIgR3yhnVJ8oJJc,Wheelhouse,40.44765659999999,-80.0225727,"777 Casino Dr, Pittsburgh, PA 15212, USA",777,Casino Drive,Chateau,15212,False,2,4,321,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2300,1100,2300
ChIJBST-0Jj2NIgRuZY91BqYQY0,Bella Monte Pizza,40.44163289999999,-80.0333917,"410 S Main St, Pittsburgh, PA 15220, USA",410,South Main Street,West End,15220,True,2,4.1,316,1100,2200,,,1100,2300,1100,2300,1100,2300,1100,0000,1100,0000
ChIJPz5dmKX2NIgRgcESndEXxLQ,Monterey Bay Fish Grotto,40.4386441,-80.0213101,"1411 Grandview Ave, Pittsburgh, PA 15211, USA",1411,Grandview Avenue,Duquesne Heights,15211,True,4,4.7,1859,1630,2100,1630,2100,1630,2100,1630,2100,1630,2100,1630,2200,1630,2200
ChIJbdz5ZEv1NIgRB59fHPt9DgA,Martorano's Prime,40.4476994,-80.0225767,"777 Casino Dr, Pittsburgh, PA 15212, USA",777,Casino Drive,Chateau,15212,False,,3.3,71,,,,,,,,,,,,,,
ChIJ-QhLYVbxNIgR7Hk4Ca0Qesc,täkō,40.4423048,-80.0021624,"214 6th St, Pittsburgh, PA 15222, USA",214,6th Street,Downtown,15222,,2,4.5,1401,1600,2100,,,,,1700,2200,1700,2200,1700,2300,1700,2300
ChIJixr3YwL0NIgRIM-xM8ZFYFE,Primanti Bros.,40.44670790000001,-80.0168334,"100 Art Rooney Ave, Pittsburgh, PA 15212, USA",100,Art Rooney Avenue,North Shore,15212,,1,4.3,135,1100,2000,1100,2000,1100,2000,1100,2000,1100,2000,1100,2100,1100,2100
ChIJd7igQwT0NIgRioSao7dLIBc,Nicky's Thai Kitchen,40.4520913,-80.0162263,"856 Western Ave, Pittsburgh, PA 15233, USA",856,Western Avenue,Allegheny-West,15233,,2,4.5,971,1700,2100,,,1700,2100,1700,2100,1700,2100,1700,2130,1700,2130
