place_id,name,business_status,formatted_address,latitude,longitude,price_level,rating,user_ratings_total
ChIJuSg4d9v0NIgRwC9BwhBCY5o,Danny's Bar & Grill,OPERATIONAL,"1511 Center Ave, Pittsburgh, PA 15229",40.5145284,-80.0448983,1,4.4,169
ChIJLVaMDYtfNIgRp2NeeppNCw0,KFC,OPERATIONAL,"4306 Ohio River Blvd, Bellevue, PA 15202",40.4884075,-80.05662509999999,1,3.5,698
ChIJPxDk0VXzNIgR2W5wBEOmyYg,Stoke’s Grill,OPERATIONAL,"4771 McKnight Rd #5, Pittsburgh, PA 15237",40.5207144,-80.0056825,2,4.2,490
ChIJe0wuiIr1NIgRXEk31l0RsjY,Mia Madre Trattoria,OPERATIONAL,"649 California Ave, Avalon, PA 15202",40.5011631,-80.0671517,2,4.6,195
ChIJteciFQb1NIgRG_Sreb5vmiU,Wendy's,OPERATIONAL,"1015 Ohio River Blvd, Avalon, PA 15202",40.4941225,-80.0635886,1,3.1,851
ChIJPxDk0VXzNIgRxG3GMplzkw8,El Campesino North Hills,OPERATIONAL,"4771 McKnight Rd, Pittsburgh, PA 15237",40.5208541,-80.00573349999999,1,4.4,1132
ChIJndE5IBL1NIgRqngiYVqjKiM,Pizza Pronto Pizza and Gyro House,OPERATIONAL,"518 California Ave, Pittsburgh, PA 15202",40.502209,-80.0706483,1,4.4,325
ChIJ3ejbFb_zNIgRbaGSDkFD6Jw,Scratch & Co.,OPERATIONAL,"1720 Lowrie St, Pittsburgh, PA 15212",40.46434379999999,-79.9822782,2,4.6,438
ChIJGRG_kPrzNIgRJRT0EjM9vSI,Lillen's Restaurant,OPERATIONAL,"535 E Ohio St, Pittsburgh, PA 15212",40.45359670000001,-79.9994251,1,3.8,237
ChIJm-T3ZwT0NIgRXhIHSZHyBB0,Modern Cafe,OPERATIONAL,"862 Western Ave, Pittsburgh, PA 15233",40.4521399,-80.01643519999999,1,4.5,405
ChIJJ8cTqwX0NIgRX60PcZPX4Qk,Lola Bistro,OPERATIONAL,"1100 Galveston Ave, Pittsburgh, PA 15233",40.453668,-80.01688999999999,,4.8,73
ChIJp7J-MaL1NIgRYr9GHwUs5Ls,Leo. a public house,OPERATIONAL,"1207 Allegheny Ave, Pittsburgh, PA 15233",40.4539211,-80.0198305,,4.7,130
ChIJV-WNXQT0NIgRIlshvd0VSxE,Bier's Pub & War Streets Brewery,OPERATIONAL,"900 Western Ave, Pittsburgh, PA 15233",40.4520412,-80.01676789999999,,4.5,528
ChIJp2EIZfDzNIgRq-iQ1IuOs3Y,Max's Allegheny Tavern,OPERATIONAL,"537 Suismon St, Pittsburgh, PA 15212",40.4552481,-79.9997368,2,4.5,1815
ChIJZapX9vjzNIgRSu7rbfVfChA,Federal Galley,OPERATIONAL,"200 Children's Way, Pittsburgh, PA 15212",40.4515068,-80.00603389999999,2,4.5,1986
ChIJ09EneFjxNIgRypwsHoGxIE8,Condado Tacos,OPERATIONAL,"971 Liberty Ave, Pittsburgh, PA 15222",40.4437921,-79.99549449999999,1,4.5,3509
ChIJDS_4ZA_0NIgRm4werE0wkBo,Quik-It Chicken,OPERATIONAL,"820 Pennsylvania Ave, Pittsburgh, PA 15233",40.4562612,-80.0161723,1,3.4,103
ChIJTySFk8PzNIgR9oYnssqat_A,THE LUNCH BOX,OPERATIONAL,"1307 Federal St, Pittsburgh, PA 15212",40.4572118,-80.00781359999999,1,5,13
ChIJl6nD-7HzNIgRcECP9TxqAgI,Shaka Restaurant,OPERATIONAL,"Inside Federal Galley, 200 Children's Way, Pittsburgh, PA 15212",40.4515068,-80.00603389999999,,4.1,19
ChIJReLa5-_zNIgRj2_pLh7ZKpQ,Verdetto's | Bar & Restaurant,OPERATIONAL,"814 Madison Ave, Pittsburgh, PA 15212",40.4552738,-79.9969666,1,4.2,180
ChIJscaPKe_xNIgR2QpQkr3O8h8,Terrene,OPERATIONAL,"224 W Station Square Dr, Pittsburgh, PA 15219",40.4337618,-80.00457709999999,,4.4,102
ChIJVZKH5vDzNIgRtHfQm2LeeOE,Legends Eatery,OPERATIONAL,"500 E North Ave, Pittsburgh, PA 15212",40.4565844,-80.0014734,2,4.7,446
